5.529466600000000326e+05 7.136265599999999627e+06 4.430061600000000226e+02
5.589584000000000233e+05 7.136895500000000000e+06 4.483221399999999903e+02
5.528411800000000512e+05 7.135005799999999814e+06 4.619468100000000277e+02
5.523934499999999534e+05 7.140247500000000000e+06 4.700013099999999895e+02
5.601449200000000419e+05 7.131730500000000000e+06 4.251440099999999802e+02
5.610677700000000186e+05 7.136996299999999814e+06 4.240823100000000068e+02
5.564007800000000279e+05 7.133872099999999627e+06 4.534518400000000042e+02
5.562161600000000326e+05 7.139767700000000186e+06 4.348976099999999860e+02
5.575873299999999581e+05 7.128908599999999627e+06 4.115844999999999914e+02
5.604349200000000419e+05 7.139717299999999814e+06 4.279374099999999999e+02
5.544496099999999860e+05 7.135257799999999814e+06 4.481720599999999877e+02
5.565326199999999953e+05 7.138256099999999627e+06 4.611529499999999757e+02
5.551087900000000373e+05 7.134728700000000186e+06 4.600059200000000033e+02
5.543978900000000140e+05 7.140324000000000000e+06 4.677082199999999830e+02
5.535794899999999907e+05 7.132310000000000000e+06 4.410256999999999721e+02
5.614369399999999441e+05 7.138785200000000186e+06 4.233672199999999748e+02
5.613841800000000512e+05 7.133166599999999627e+06 4.363093900000000076e+02
5.627816199999999953e+05 7.137273400000000373e+06 4.369686599999999999e+02
5.621488800000000047e+05 7.134426400000000373e+06 4.163736599999999726e+02
5.600394100000000326e+05 7.139717299999999814e+06 4.128893100000000231e+02
5.626498399999999674e+05 7.138886000000000000e+06 4.121751699999999801e+02
5.587474599999999627e+05 7.132133599999999627e+06 4.302543299999999817e+02
5.620697700000000186e+05 7.130445500000000000e+06 4.110000000000000000e+02
5.526830000000000000e+05 7.139112700000000186e+06 4.619596900000000232e+02
5.629925100000000093e+05 7.138810299999999814e+06 4.108081700000000183e+02
5.523665300000000279e+05 7.135711299999999814e+06 4.620216100000000097e+02
5.584837900000000373e+05 7.130420299999999814e+06 4.296283300000000054e+02
5.578773399999999674e+05 7.138130099999999627e+06 4.297908300000000281e+02
5.584574200000000419e+05 7.130621900000000373e+06 4.309173299999999927e+02
